MouseState { coords: (798, 235), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (800, 239), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (818, 254), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (869, 291), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (944, 333), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1046, 386), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1150, 439), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1253, 483), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1343, 516), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1413, 538), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1454, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1451, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1419, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1347, 525), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1248, 504), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1133, 484), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1013, 472), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (919, 468), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (852, 475), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (813, 492), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (796, 508), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (787, 528), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (787, 545), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (796, 565), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (824, 586), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (863, 605), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (918, 625), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (975, 641), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1022, 649), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1044, 653), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1042, 653), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1021, 653), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (969, 653), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (910, 655), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (853, 669), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (804, 686), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (764, 709), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (732, 727), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (713, 739), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (706, 745), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (710, 742), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (712, 740), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (716, 734), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (720, 724), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (724, 713), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (724, 706), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (726, 698), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (726, 691), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (724, 680), button_pressed: [false, false, false, false, false, false] }
